gene_name,tpm_rbctr1,tpm_rbctr2,tpm_rbctr3,tpm_rnactr1,tpm_rnactr2,tpm_rnactr3,tpm_rnactr4,avg_rpf,avg_rna
N4bp2,8.399,8.13272,10.18235,10.94644,12.50867,9.91768,10.7315,8.90469,11.02607
Bmp4,6.03678,4.76062,5.57147,7.53245,6.49801,4.92915,6.428,5.45629,6.3469
Wdr60,16.53553,14.28185,20.17258,13.385,12.61697,11.87746,11.11282,16.99666,12.24806
Zfp953,1.31234,1.58687,2.11332,1.73409,1.9494,3.20691,1.96109,1.67084,2.21287
Cfap43,1.04988,1.38851,0.57636,3.52237,4.87351,4.81037,5.66536,1.00492,4.7179
Cdon,6.82419,6.94257,5.18724,17.39508,19.60233,19.53843,17.92215,6.318,18.6145
Milr1,0.0,0.79344,0.38424,0.43352,0.16245,0.29694,0.16342,0.39256,0.26408
Prc1,2.62469,2.18195,2.8818,3.79332,4.33201,3.86018,3.54085,2.56281,3.88159
Sp8,5.24938,4.56226,4.22664,4.82294,5.46916,5.1667,3.54085,4.67942,4.74991
Uri1,11.54863,13.48842,10.18235,66.70824,77.65121,76.84718,78.55239,11.7398,74.93976
Haus6,9.18641,6.34749,8.26115,12.68053,13.37507,11.28359,11.65757,7.93168,12.24919
Palm3,4.46197,2.77703,4.61088,2.54694,2.3826,2.25672,1.85214,3.94996,2.2596
Clasrp,21.78491,23.20801,24.97558,15.11909,11.80472,12.59011,13.5097,23.32283,13.25591
Npffr2,0.52494,0.79344,1.72908,0.5419,0.4332,0.23755,0.49027,1.01582,0.42573
Naprt,7.61159,7.93436,6.33995,2.87209,1.57035,1.66284,2.01556,7.2953,2.03021
Hmcn2,0.52494,0.9918,1.9212,0.70447,0.48735,0.77204,0.27237,1.14598,0.55906
Bfsp2,16.27306,15.86873,13.64051,9.37492,9.20551,8.13606,8.11672,15.26077,8.7083
Fam160a1,3.41209,3.76882,3.07392,4.22684,4.06126,4.98853,4.41244,3.41828,4.42227
Caprin2,3.93703,3.57046,2.8818,5.20227,3.95296,3.91956,3.32295,3.4631,4.09943
Dglucy,4.1995,7.33929,4.99512,6.7196,5.41501,7.36403,7.0817,5.5113,6.64508
Pla2g3,1.31234,1.78523,1.9212,2.00504,2.166,2.01917,1.63424,1.67292,1.95611
Asb18,0.0,0.19836,0.19212,0.43352,0.3249,0.71265,0.87159,0.13016,0.58567
Fgg,0.0,0.19836,0.19212,0.0,0.0,0.0,0.05447,0.13016,0.01362
Cd27,0.0,0.19836,0.19212,0.0,0.05415,0.35632,0.05447,0.13016,0.11624
Sppl2c,0.0,0.19836,0.19212,0.0,0.0,0.0,0.0,0.13016,0.0
Cyp24a1,0.0,0.19836,0.19212,0.0,0.0,0.0,0.0,0.13016,0.0
Wnt8b,0.0,0.19836,0.19212,0.16257,0.05415,0.17816,0.16342,0.13016,0.13958
